file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\voltdb-master\voltdb-master\src\frontend\org\voltdb\importclient\kafka\util\DurableTracker.java,org.voltdb.importclient.kafka.util.DurableTracker,class,4,6,2,4,26,1,0,6,0,0.5476191,0.8666667,1.0,7,0,6,1,0,0,6,0,1,3,12,2,0,4,0,8,7,0,2,90,4,1,6,1,4,12,21,32,12,13,2,0,0,0,72,17,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\voltdb-master\voltdb-master\tests\frontend\org\voltdb\planner\eegentests\EEPlanGenerator.java,org.voltdb.planner.eegentests.EEPlanGenerator$SchemaConfig,innerclass,1,1,0,1,5,1,0,3,6,0.75,1.0,1.0,4,0,3,0,0,1,4,0,0,0,1,0,0,1,0,0,0,0,0,17,3,1,0,0,0,0,0,1,0,1,1,0,0,0,10,12,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\voltdb-master\voltdb-master\third_party\java\src\com\google_voltpatches\common\collect\Synchronized.java,com.google_voltpatches.common.collect.Synchronized$SynchronizedNavigableMap,innerclass,8,8,0,8,27,3,0,27,270,0.9270834,0.0036231885,0.0036231885,24,0,22,0,0,2,24,0,0,0,4,1,0,1,0,3,1,0,14,123,26,0,3,0,0,0,1,4,0,4,2,0,0,0,36,8,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\voltdb-master\voltdb-master\tests\testprocs\org\voltdb_testprocs\updateclasses\TestProcWithSQLStmt.java,org.voltdb_testprocs.updateclasses.TestProcWithSQLStmt,class,2,2,0,2,1,2,0,2,0,0.5,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,2,0,0,9,1,0,0,0,0,2,1,2,0,2,0,0,0,0,23,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\voltdb-master\voltdb-master\src\frontend\org\voltdb\iv2\Site.java,org.voltdb.iv2.Site$Anonymous2,anonymous,0,0,0,0,2,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,1,0,1,0,0,0,0,0,6,-1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\voltdb-master\voltdb-master\third_party\java\src\com\google_voltpatches\common\collect\FilteredEntryMultimap.java,com.google_voltpatches.common.collect.FilteredEntryMultimap$AsMap$1EntrySetImpl,innerclass,8,8,0,8,5,5,0,5,10,0.0,0.0,0.0,5,0,4,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,31,5,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\voltdb-master\voltdb-master\src\frontend\org\voltdb\plannodes\NodeSchema.java,org.voltdb.plannodes.NodeSchema,class,8,31,23,8,67,2,0,67,0,0.73148143,0.57,0.57,27,0,22,2,0,3,25,0,0,0,4,2,0,4,0,0,4,0,4,288,32,14,17,0,5,12,18,72,5,67,4,0,1,4,265,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\voltdb-master\voltdb-master\src\hsqldb19b3\org\hsqldb_voltpatches\lib\HsqlTaskQueue.java,org.hsqldb_voltpatches.lib.HsqlTaskQueue$TaskRunner,innerclass,2,2,0,2,4,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29,0,1,2,1,0,0,0,3,0,1,4,0,0,0,22,4,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\voltdb-master\voltdb-master\src\frontend\org\voltdb\exportclient\decode\BatchDecoder.java,org.voltdb.exportclient.decode.BatchDecoder,interface,2,5,3,2,3,4,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\voltdb-master\voltdb-master\src\frontend\org\voltdb\iv2\Site.java,org.voltdb.iv2.Site$Anonymous1,anonymous,29,29,0,29,75,1,0,53,990,0.0,0.0,0.0,45,0,44,1,0,0,44,0,0,0,0,0,0,0,0,0,0,0,5,241,35,4,10,1,6,11,12,24,7,14,4,0,0,0,168,-1,7
