file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Openfire-main\xmppserver\src\test\java\org\jivesoftware\util\cache\CacheFactoryTest.java,org.jivesoftware.util.cache.CacheFactoryTest,class,8,9,1,8,10,1,0,13,36,0.0,0.0,0.0,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,14,53,0,1,0,0,2,7,0,15,0,15,1,0,0,0,73,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Openfire-main\xmppserver\src\main\java\org\jivesoftware\openfire\security\DefaultSecurityAuditProvider.java,org.jivesoftware.openfire.security.DefaultSecurityAuditProvider,class,5,7,2,5,27,1,0,31,30,0.84444445,0.083333336,0.083333336,9,0,9,0,0,0,9,0,0,0,5,5,0,5,0,0,5,0,0,165,7,1,9,4,1,14,24,48,0,25,2,0,0,0,107,1,3
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Openfire-main\xmppserver\src\main\java\org\jivesoftware\openfire\session\ConnectionMultiplexerSessionTask.java,org.jivesoftware.openfire.session.ConnectionMultiplexerSessionTask,class,5,6,1,5,4,2,0,3,0,0.25,0.5,0.5,4,0,2,0,1,1,4,0,0,0,1,0,0,1,0,0,0,0,1,15,2,0,0,0,0,2,0,1,1,1,0,0,0,0,28,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Openfire-main\xmppserver\src\main\java\org\jivesoftware\openfire\commands\event\UserCreated.java,org.jivesoftware.openfire.commands.event.UserCreated,class,11,12,1,11,10,2,0,27,28,0.0,0.0,0.0,8,0,5,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,4,62,7,0,0,2,0,19,2,10,0,9,1,0,0,0,68,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Openfire-main\xmppserver\src\main\java\org\jivesoftware\openfire\update\AvailablePlugin.java,org.jivesoftware.openfire.update.AvailablePlugin,class,6,8,2,6,30,2,0,10,0,0.6333333,0.3,0.6,5,1,5,0,0,0,5,0,0,0,6,3,0,6,0,0,6,0,2,106,4,0,11,5,0,20,2,41,2,31,2,0,0,0,87,1,5
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Openfire-main\xmppserver\src\main\java\org\jivesoftware\openfire\muc\cluster\MUCServicePropertyClusterEventTask.java,org.jivesoftware.openfire.muc.cluster.MUCServicePropertyClusterEventTask$Type,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Openfire-main\xmppserver\src\main\java\org\jivesoftware\openfire\session\RemoteClientSession.java,org.jivesoftware.openfire.session.RemoteClientSession$SetMessageCarbonsTask,innerclass,3,3,0,3,5,3,0,7,0,0.2,0.6,0.6,5,0,4,0,1,0,5,0,0,0,1,0,0,1,0,0,0,0,0,21,0,0,0,0,1,0,0,2,0,1,0,0,0,0,25,10,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Openfire-main\xmppserver\src\main\java\org\jivesoftware\util\ElementUtil.java,org.jivesoftware.util.ElementUtil,class,3,4,1,3,50,1,0,35,45,0.0,0.0,0.0,10,8,8,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,11,176,14,13,19,0,2,3,48,57,16,42,2,0,0,0,208,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Openfire-main\xmppserver\src\test\java\org\jivesoftware\openfire\session\RemoteReceivingServerDummy.java,org.jivesoftware.openfire.session.RemoteReceivingServerDummy,class,3,5,2,3,12,2,0,17,0,0.6,0.5,1.0,5,0,5,0,0,0,5,0,0,1,5,1,1,4,0,0,1,0,2,307,1,0,4,0,0,3,1,8,1,6,2,0,2,0,90,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Openfire-main\xmppserver\src\main\java\org\jivesoftware\openfire\audit\Auditor.java,org.jivesoftware.openfire.audit.Auditor,interface,2,5,3,2,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Openfire-main\xmppserver\src\test\java\org\jivesoftware\openfire\forward\ForwardedTest.java,org.jivesoftware.openfire.forward.ForwardedTest,class,10,10,0,10,11,1,0,17,55,0.0,0.0,0.0,11,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2,84,0,0,0,0,0,42,0,25,3,25,0,0,0,0,133,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Openfire-main\xmppserver\src\main\java\org\jivesoftware\database\ProfiledConnection.java,org.jivesoftware.database.ProfiledConnection$TimedStatement,innerclass,2,2,0,2,13,2,0,8,0,0.0,1.0,1.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,18,64,3,0,0,0,0,9,0,13,12,13,1,0,0,0,43,0,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Openfire-main\xmppserver\src\main\java\org\jivesoftware\openfire\nio\NettySessionInitializer.java,org.jivesoftware.openfire.nio.NettySessionInitializer,class,18,21,3,18,16,1,0,54,0,0.57407403,1.0,1.0,6,0,4,2,0,0,4,0,0,0,9,3,2,7,0,0,7,0,6,127,4,0,3,2,0,28,2,19,2,20,2,1,0,2,127,1,6
