file,class,method,variable,usage
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Openfire-main\xmppserver\src\main\java\org\jivesoftware\util\XMLWriter.java,org.jivesoftware.util.XMLWriter,"XMLWriter/2[java.io.OutputStream,org.jivesoftware.util.OutputFormat]",writer,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Openfire-main\xmppserver\src\main\java\org\jivesoftware\util\XMLWriter.java,org.jivesoftware.util.XMLWriter,write/1[org.jivesoftware.util.Element],autoFlush,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Openfire-main\xmppserver\src\main\java\org\jivesoftware\util\XMLWriter.java,org.jivesoftware.util.XMLWriter,write/1[org.jivesoftware.util.Attribute],autoFlush,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Openfire-main\xmppserver\src\main\java\org\jivesoftware\util\XMLWriter.java,org.jivesoftware.util.XMLWriter,writeEscapeAttributeEntities/1[java.lang.String],writer,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Openfire-main\xmppserver\src\main\java\org\jivesoftware\util\XMLWriter.java,org.jivesoftware.util.XMLWriter,resolveEntityRefs/0,resolveEntityRefs,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Openfire-main\xmppserver\src\main\java\org\jivesoftware\util\XMLWriter.java,org.jivesoftware.util.XMLWriter,setLexicalHandler/1[org.xml.sax.ext.LexicalHandler],lexicalHandler,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Openfire-main\xmppserver\src\main\java\org\jivesoftware\util\XMLWriter.java,org.jivesoftware.util.XMLWriter,"writeDocType/3[java.lang.String,java.lang.String,java.lang.String]",writer,10
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Openfire-main\xmppserver\src\main\java\org\jivesoftware\util\XMLWriter.java,org.jivesoftware.util.XMLWriter,getOutputFormat/0,format,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Openfire-main\xmppserver\src\main\java\org\jivesoftware\util\XMLWriter.java,org.jivesoftware.util.XMLWriter,write/1[org.jivesoftware.util.Text],autoFlush,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Openfire-main\xmppserver\src\main\java\org\jivesoftware\util\XMLWriter.java,org.jivesoftware.util.XMLWriter,writeAttribute/1[org.jivesoftware.util.Attribute],format,1
